Personel_ID,Yaka_Tipi,Cinsiyet,Yas,Medeni_Hal,Cocuk_Sayisi,Ilce,Mesafe_KM,Lojman_Kullanimi,Sertifika_Sayisi,Egitim_Saati_Yil,Seyahat_Sikligi,Toplam_Tecrube_Yil,Sirketteki_Yil,MKE_Oncesi_Tecrube,Ayni_Unvanda_Yil,Son_Terfi_Gecen_Yil,Mevcut_Yonetici_Yil,Birim_Degisim_Sayisi,Departman,Unvan,Egitim_Seviyesi,Maas_TL,Aylik_Mesai_Saat,Vardiya_Tipi,Vardiya_Rotasyon_Sikligi,Is_Kazasi_Gecmisi,Sendika_Sozlesme_Kalan_Ay,Kullanilan_Izin_Gun,Son_Zam_Orani,Son_Zamdan_Beri_Ay,Performans_Puani,Ortam_Memnuniyeti,Is_Memnuniyeti,Ekip_Uyum_Puani,Is_Ozel_Hayat_Dengesi,Istifa_Etti_Mi
MKE-10010,Mavi,Erkek,37,Evli,3,MKE Lojmanlari,2,1,0,11,Seyahat Yok,14,12,2,6,6,3,0,Gazi Fisek Fabrikasi,Atolye Ustasi,Lise,44975,15,Iki Vardiya,Haftalik,0,5,18,54.131295759769245,7,3,3,3,5,4,0
MKE-10011,Beyaz,Kadin,51,Bekar,0,Cankaya,39,0,5,19,Seyahat Yok,19,17,2,8,4,1,1,IK,Takim Lideri,Lisans,115055,44,Yok,Yok,0,0,19,31.19290319229122,10,3,4,5,4,3,1
MKE-10012,Mavi,Kadin,26,Bekar,0,Mamaj,12,0,0,16,Seyahat Yok,4,4,0,0,0,5,0,Silah Fabrikasi,Teknisyen,On Lisans,34635,35,Iki Vardiya,Haftalik,0,24,17,53.59729011401893,2,3,3,4,5,4,0
MKE-10013,Mavi,Erkek,58,Evli,1,Cankaya,42,0,0,10,Seyahat Yok,12,3,9,0,0,1,0,Muhimmat Fabrikasi,Atolye Ustasi,On Lisans,39877,29,Uc Vardiya,Haftalik,0,19,17,38.708415111329934,11,3,2,1,2,1,0
MKE-10014,Mavi,Erkek,56,Bekar,0,MKE Lojmanlari,1,1,0,7,Seyahat Yok,35,18,17,4,3,1,2,Muhimmat Fabrikasi,Basusta,Lise,53975,29,Iki Vardiya,Haftalik,0,19,25,51.17857860238974,9,5,4,5,5,4,0
MKE-10015,Mavi,Erkek,46,Bekar,0,MKE Lojmanlari,2,1,1,13,Seyahat Yok,20,4,16,0,0,2,0,Muhimmat Fabrikasi,Basusta,On Lisans,48156,20,Iki Vardiya,Aylik,0,9,25,50.962019094099624,8,4,3,5,5,3,0
MKE-10016,Beyaz,Erkek,22,Bekar,0,Kalebasi,26,0,3,17,Seyahat Yok,1,1,0,0,0,2,0,Satinalma,Muhendis,Yuksek Lisans,59324,43,Yok,Yok,0,0,15,31.407581892045933,12,3,5,5,5,4,0
MKE-10017,Mavi,Erkek,46,Evli,1,Yenimahalle,28,0,0,4,Seyahat Yok,24,1,23,0,0,2,0,Silah Fabrikasi,Basusta,On Lisans,44309,38,Uc Vardiya,Haftalik,1,15,14,44.607857798077504,7,3,3,4,5,5,0
MKE-10018,Mavi,Erkek,49,Evli,2,Cankaya,16,0,1,6,Seyahat Yok,4,2,2,0,0,1,0,Bakim Onarim,Operator,Lise,26779,25,Iki Vardiya,Haftalik,0,6,18,40.45607590726547,8,3,5,4,4,4,0
MKE-10019,Mavi,Kadin,32,Evli,1,Mamaj,13,0,0,8,Seyahat Yok,5,2,3,0,0,1,0,Gazi Fisek Fabrikasi,Operator,On Lisans,24288,57,Uc Vardiya,Aylik,1,5,23,36.18370254357994,9,4,5,5,5,5,0
MKE-10020,Mavi,Erkek,53,Evli,2,MKE Lojmanlari,2,1,1,14,Seyahat Yok,34,28,6,21,21,3,2,Gazi Fisek Fabrikasi,Atolye Ustasi,Lise,44378,42,Uc Vardiya,Haftalik,0,14,16,45.4315928024323,2,4,4,4,4,4,0
MKE-10021,Mavi,Erkek,45,Bekar,0,Etimesgut,12,0,2,12,Seyahat Yok,15,12,3,3,1,1,1,Silah Fabrikasi,Basusta,On Lisans,57180,62,Uc Vardiya,Haftalik,0,19,20,33.79756733780736,6,2,2,2,3,2,0
MKE-10022,Beyaz,Erkek,53,Evli,1,Etimesgut,21,0,1,36,Seyahat Yok,18,5,13,0,0,5,0,Bilgi Teknolojileri,Kidemli Muhendis,Lisans,66372,31,Yok,Yok,0,0,21,53.02181001329533,1,4,4,5,5,3,0
MKE-10023,Mavi,Erkek,47,Evli,1,Yenimahalle,42,0,2,9,Seyahat Yok,28,23,5,18,6,3,2,Silah Fabrikasi,Basusta,On Lisans,55846,14,Iki Vardiya,Haftalik,0,17,23,35.83041028874503,4,3,4,4,5,2,0
MKE-10024,Beyaz,Erkek,40,Evli,3,Mamaj,28,0,6,45,Seyahat Yok,10,9,1,1,0,3,0,Kalite Yonetim,Kidemli Muhendis,Lisans,81805,34,Yok,Yok,0,0,21,32.005843641541055,3,4,3,4,5,5,0
MKE-10025,Beyaz,Erkek,51,Bekar,0,Yenimahalle,11,0,4,15,Nadiren,24,6,18,1,0,5,0,IK,Takim Lideri,Yuksek Lisans,94512,24,Yok,Yok,0,0,23,32.18225448974189,11,4,5,4,5,4,0
MKE-10026,Mavi,Erkek,23,Bekar,0,Cankaya,42,0,1,15,Seyahat Yok,5,2,3,0,0,3,0,Bakim Onarim,Operator,Lise,26432,33,Uc Vardiya,Aylik,1,9,16,48.528016232251474,6,2,5,5,5,5,0
MKE-10027,Beyaz,Kadin,51,Evli,2,Yenimahalle,47,0,1,39,Nadiren,3,1,2,0,0,2,0,Kalite Yonetim,Uzman,Yuksek Lisans,47814,42,Yok,Yok,0,0,14,39.59728053433029,5,4,5,4,4,3,0
MKE-10028,Mavi,Erkek,36,Bekar,0,MKE Lojmanlari,1,1,1,9,Seyahat Yok,15,13,2,12,5,1,0,Muhimmat Fabrikasi,Basusta,On Lisans,56419,19,Iki Vardiya,Haftalik,0,1,17,45.098946801812815,8,3,3,4,5,4,0
MKE-10029,Beyaz,Erkek,48,Bekar,0,Etimesgut,20,0,4,26,Seyahat Yok,5,4,1,3,2,2,0,IK,Kidemli Muhendis,Lisans,81205,29,Yok,Yok,0,0,25,47.41627059692231,8,3,3,4,5,4,0
MKE-10030,Mavi,Erkek,43,Evli,1,Kalebasi,22,0,2,18,Seyahat Yok,11,7,4,3,1,1,0,Muhimmat Fabrikasi,Teknisyen,On Lisans,32099,19,Iki Vardiya,Aylik,0,9,17,52.99639041031901,2,3,4,4,5,4,0
MKE-10031,Beyaz,Erkek,46,Evli,2,Cankaya,27,0,5,21,Nadiren,7,4,3,2,1,2,0,Kalite Yonetim,Kidemli Muhendis,Lisans,72347,24,Yok,Yok,0,0,14,39.93295288643995,3,3,4,5,4,3,0
MKE-10032,Mavi,Erkek,39,Evli,2,Cankaya,11,0,1,5,Seyahat Yok,1,1,0,0,0,2,0,Silah Fabrikasi,Operator,On Lisans,29057,12,Iki Vardiya,Haftalik,0,19,25,54.473285890399026,2,4,5,4,5,3,0
MKE-10033,Mavi,Erkek,58,Bekar,0,Yenimahalle,53,0,1,10,Seyahat Yok,3,3,0,1,0,4,0,Muhimmat Fabrikasi,Operator,Lise,27287,40,Uc Vardiya,Aylik,0,16,23,35.19715637865068,3,2,5,5,5,5,0
MKE-10034,Mavi,Erkek,22,Bekar,0,Kalebasi,27,0,1,9,Seyahat Yok,3,1,2,0,0,2,0,Bakim Onarim,Operator,Lise,26403,18,Iki Vardiya,Aylik,0,3,25,51.71169939744782,8,2,5,4,4,4,0
MKE-10035,Beyaz,Erkek,46,Evli,2,Etimesgut,28,0,1,39,Seyahat Yok,7,1,6,0,0,1,0,IK,Kidemli Muhendis,Lisans,63647,40,Yok,Yok,0,0,19,35.16053179401508,10,4,3,4,4,4,1
MKE-10036,Mavi,Erkek,31,Evli,3,Yenimahalle,43,0,2,10,Seyahat Yok,13,1,12,0,0,2,0,Silah Fabrikasi,Atolye Ustasi,On Lisans,37629,17,Iki Vardiya,Haftalik,0,17,21,41.90126005497749,8,3,5,5,4,1,0
MKE-10037,Mavi,Erkek,55,Evli,1,Etimesgut,10,0,0,15,Seyahat Yok,9,2,7,0,0,1,0,Muhimmat Fabrikasi,Atolye Ustasi,Lise,37552,49,Uc Vardiya,Haftalik,0,19,24,33.42046577297403,10,4,4,4,4,5,0
MKE-10038,Mavi,Erkek,58,Bekar,0,Cankaya,17,0,0,6,Seyahat Yok,16,6,10,2,1,1,0,Bakim Onarim,Atolye Ustasi,Lise,41601,35,Iki Vardiya,Haftalik,0,7,21,53.60666222783585,2,5,5,3,5,4,0
MKE-10039,Beyaz,Erkek,55,Evli,2,Kalebasi,32,0,2,16,Nadiren,3,1,2,0,0,1,0,IK,Muhendis,Yuksek Lisans,50363,22,Yok,Yok,0,0,20,54.75853283354443,11,3,5,4,5,4,0
MKE-10040,Mavi,Erkek,50,Bekar,0,Etimesgut,52,0,2,12,Seyahat Yok,30,21,9,9,8,4,4,Bakim Onarim,Basusta,On Lisans,54762,34,Iki Vardiya,Haftalik,0,14,14,33.11093893242141,11,3,5,5,4,2,0
MKE-10041,Beyaz,Erkek,34,Evli,2,Etimesgut,50,0,3,20,Seyahat Yok,2,1,1,0,0,1,0,Satinalma,Muhendis,Lisans,55932,30,Yok,Yok,0,0,18,54.22756575352028,1,2,4,4,5,1,0
MKE-10042,Mavi,Kadin,24,Bekar,0,MKE Lojmanlari,3,1,1,12,Seyahat Yok,3,2,1,0,0,1,0,Muhimmat Fabrikasi,Operator,Lise,26696,47,Uc Vardiya,Haftalik,0,2,21,48.380316363086315,2,5,4,4,4,4,0
MKE-10043,Mavi,Erkek,34,Evli,2,Kalebasi,20,0,0,16,Seyahat Yok,12,5,7,4,2,2,0,Muhimmat Fabrikasi,Atolye Ustasi,Lise,40687,35,Uc Vardiya,Haftalik,0,16,24,53.252258762743466,4,3,4,5,4,5,0
MKE-10044,Mavi,Erkek,31,Evli,1,Cankaya,48,0,1,12,Seyahat Yok,11,5,6,4,4,4,0,Silah Fabrikasi,Atolye Ustasi,Lise,42238,33,Iki Vardiya,Haftalik,0,7,15,45.8155473283487,5,3,3,5,5,1,0
MKE-10045,Beyaz,Erkek,31,Evli,1,Kalebasi,19,0,3,25,Seyahat Yok,6,1,5,0,0,2,0,Bilgi Teknolojileri,Muhendis,Yuksek Lisans,51341,15,Yok,Yok,0,0,23,33.973457081918916,2,1,5,4,5,3,0
MKE-10046,Beyaz,Erkek,23,Evli,1,MKE Lojmanlari,1,1,5,17,Nadiren,1,1,0,0,0,2,0,Satinalma,Uzman,Lisans,55896,24,Yok,Yok,0,0,24,52.35248009197836,2,3,4,3,5,4,0
MKE-10047,Mavi,Kadin,46,Bekar,0,MKE Lojmanlari,2,1,0,9,Seyahat Yok,17,8,9,2,0,4,0,Gazi Fisek Fabrikasi,Basusta,Lise,52304,16,Iki Vardiya,Haftalik,0,20,22,46.28798667005662,5,2,4,5,4,4,0
MKE-10048,Mavi,Erkek,52,Evli,1,Mamaj,22,0,0,4,Seyahat Yok,32,11,21,7,2,3,1,Muhimmat Fabrikasi,Basusta,On Lisans,51652,51,Uc Vardiya,Haftalik,1,2,22,30.830077719784164,4,3,1,2,3,1,0
MKE-10049,Beyaz,Kadin,32,Bekar,0,MKE Lojmanlari,2,1,3,34,Seyahat Yok,3,3,0,0,0,2,0,AR-GE Tasarim,Uzman,Lisans,54439,24,Yok,Yok,0,0,17,49.595813835471546,3,3,3,4,5,4,0
MKE-10050,Beyaz,Erkek,40,Evli,2,Cankaya,39,0,5,43,Seyahat Yok,14,4,10,3,2,4,0,Kalite Yonetim,Kidemli Muhendis,Yuksek Lisans,65836,7,Yok,Yok,0,0,19,36.44207221278034,12,1,3,5,5,5,1
MKE-10051,Beyaz,Kadin,45,Evli,2,Yenimahalle,19,0,3,40,Nadiren,18,17,1,1,1,4,1,IK,Takim Lideri,Lisans,119243,22,Yok,Yok,0,0,21,45.046384591550215,10,3,4,5,4,5,0
MKE-10052,Mavi,Kadin,35,Bekar,0,Kalebasi,44,0,2,9,Seyahat Yok,7,1,6,0,0,1,0,Bakim Onarim,Teknisyen,Lise,29938,33,Iki Vardiya,Aylik,0,10,23,46.73476003648403,9,3,4,4,5,2,0
MKE-10053,Mavi,Erkek,58,Evli,1,Mamaj,44,0,0,4,Seyahat Yok,37,12,25,11,5,4,2,Muhimmat Fabrikasi,Basusta,On Lisans,49711,12,Iki Vardiya,Haftalik,0,5,16,33.708580024052225,5,1,4,4,4,2,0
MKE-10054,Mavi,Erkek,44,Evli,3,Kalebasi,15,0,2,13,Seyahat Yok,12,6,6,1,1,4,0,Bakim Onarim,Teknisyen,Lise,29807,31,Iki Vardiya,Aylik,0,23,24,42.429369100210685,1,3,5,5,5,3,0
MKE-10055,Beyaz,Erkek,52,Evli,2,Cankaya,20,0,6,18,Seyahat Yok,16,14,2,1,1,1,0,Kalite Yonetim,Takim Lideri,Lisans,116916,15,Yok,Yok,0,0,19,52.534391239711105,9,3,4,5,4,3,0
MKE-10056,Mavi,Erkek,28,Bekar,0,Etimesgut,42,0,1,15,Seyahat Yok,5,3,2,0,0,3,0,Bakim Onarim,Teknisyen,Lise,30935,40,Uc Vardiya,Haftalik,0,2,18,32.722958546168286,5,4,1,1,3,2,0
MKE-10057,Beyaz,Kadin,42,Evli,3,Kalebasi,41,0,3,43,Seyahat Yok,11,7,4,3,2,3,0,Kalite Yonetim,Kidemli Muhendis,Yuksek Lisans,76749,8,Yok,Yok,0,0,25,37.78269247890009,4,3,5,4,5,3,0
MKE-10058,Mavi,Kadin,34,Evli,2,Etimesgut,52,0,1,12,Seyahat Yok,15,7,8,3,3,4,0,Gazi Fisek Fabrikasi,Atolye Ustasi,Lise,41411,31,Iki Vardiya,Haftalik,0,9,23,39.019312977765,10,2,5,4,4,2,0
MKE-10059,Beyaz,Erkek,31,Evli,1,MKE Lojmanlari,1,1,5,29,Seyahat Yok,1,1,0,0,0,2,0,Bilgi Teknolojileri,Uzman,Lisans,54462,25,Yok,Yok,0,0,16,43.66743531785175,10,3,4,4,4,3,0
MKE-10060,Mavi,Erkek,32,Evli,1,MKE Lojmanlari,3,1,0,15,Seyahat Yok,7,4,3,3,2,5,0,Silah Fabrikasi,Operator,On Lisans,26886,15,Iki Vardiya,Haftalik,0,13,15,31.748290142735854,5,3,4,4,5,3,0
MKE-10061,Mavi,Erkek,23,Evli,2,MKE Lojmanlari,1,1,0,19,Seyahat Yok,1,1,0,0,0,2,0,Gazi Fisek Fabrikasi,Operator,On Lisans,27821,35,Uc Vardiya,Aylik,0,23,25,41.872163587655464,7,5,4,4,5,5,0
MKE-10062,Beyaz,Erkek,27,Evli,1,Kalebasi,48,0,1,25,Seyahat Yok,2,2,0,1,0,2,0,AR-GE Tasarim,Uzman,Lisans,54523,6,Yok,Yok,0,0,16,41.18006351262089,4,3,5,4,5,2,0
MKE-10063,Mavi,Erkek,59,Evli,1,Yenimahalle,9,0,0,7,Seyahat Yok,18,13,5,5,2,4,1,Gazi Fisek Fabrikasi,Basusta,Lise,57366,19,Iki Vardiya,Aylik,0,22,14,49.120245022574885,4,3,4,4,4,4,0
MKE-10064,Mavi,Erkek,25,Bekar,0,Kalebasi,13,0,2,5,Seyahat Yok,5,4,1,2,1,4,0,Bakim Onarim,Teknisyen,Lise,35324,32,Iki Vardiya,Haftalik,0,5,23,42.115039675471614,2,3,3,4,5,3,0
MKE-10065,Mavi,Erkek,28,Bekar,0,Mamaj,36,0,2,14,Seyahat Yok,1,1,0,0,0,1,0,Bakim Onarim,Operator,Lise,27575,56,Uc Vardiya,Aylik,1,3,25,34.42217862859636,6,3,1,2,3,1,0
MKE-10066,Beyaz,Erkek,44,Evli,1,Kalebasi,18,0,4,32,Seyahat Yok,7,5,2,4,4,2,0,AR-GE Tasarim,Uzman,Yuksek Lisans,51825,30,Yok,Yok,0,0,21,45.352032779618405,6,4,4,5,4,3,0
MKE-10067,Beyaz,Kadin,50,Bekar,0,Yenimahalle,15,0,4,37,Seyahat Yok,1,1,0,0,0,1,0,Bilgi Teknolojileri,Uzman,Lisans,55279,26,Yok,Yok,0,0,21,32.642336997656855,12,4,4,4,4,3,0
MKE-10068,Mavi,Erkek,45,Bekar,0,MKE Lojmanlari,3,1,2,19,Seyahat Yok,17,5,12,3,2,4,0,Bakim Onarim,Basusta,Lise,47776,39,Iki Vardiya,Haftalik,0,6,25,49.56212311409845,8,4,4,4,4,3,0
MKE-10069,Beyaz,Erkek,31,Evli,1,Cankaya,25,0,2,39,Seyahat Yok,5,4,1,0,0,4,0,Satinalma,Kidemli Muhendis,Lisans,78780,29,Yok,Yok,0,0,15,36.01731779581262,5,5,4,4,4,5,0
MKE-10070,Mavi,Kadin,33,Bekar,0,MKE Lojmanlari,3,1,1,5,Seyahat Yok,9,2,7,1,1,2,0,Muhimmat Fabrikasi,Atolye Ustasi,Lise,37815,34,Iki Vardiya,Aylik,0,13,18,50.44463324642363,3,3,3,4,5,4,0
MKE-10071,Mavi,Erkek,44,Bekar,0,MKE Lojmanlari,3,1,2,14,Seyahat Yok,7,4,3,1,1,1,0,Gazi Fisek Fabrikasi,Teknisyen,Lise,32183,20,Iki Vardiya,Aylik,0,14,24,39.381497611066656,9,3,4,3,5,3,0
MKE-10072,Mavi,Kadin,41,Evli,2,MKE Lojmanlari,3,1,1,17,Seyahat Yok,11,3,8,1,1,3,0,Gazi Fisek Fabrikasi,Atolye Ustasi,On Lisans,37669,31,Iki Vardiya,Haftalik,0,10,17,39.69183986875986,1,2,4,4,5,3,0
MKE-10073,Mavi,Erkek,45,Evli,1,MKE Lojmanlari,2,1,1,10,Seyahat Yok,2,2,0,1,0,1,0,Silah Fabrikasi,Operator,Lise,29259,55,Uc Vardiya,Haftalik,0,13,14,32.21501074199043,4,3,5,5,5,5,0
MKE-10074,Beyaz,Erkek,54,Evli,2,Etimesgut,17,0,6,20,Nadiren,17,6,11,5,5,4,0,Satinalma,Takim Lideri,Lisans,95750,7,Yok,Yok,0,0,14,49.56454849628345,3,4,5,5,5,5,1
MKE-10075,Beyaz,Kadin,58,Evli,2,Mamaj,53,0,6,38,Siklikla,20,17,3,3,1,2,2,Kalite Yonetim,Takim Lideri,Lisans,116403,35,Yok,Yok,0,0,25,30.907190565337554,7,1,4,5,4,1,0
MKE-10076,Mavi,Erkek,30,Evli,2,Etimesgut,22,0,1,13,Seyahat Yok,4,4,0,0,0,4,0,Gazi Fisek Fabrikasi,Operator,On Lisans,27464,43,Uc Vardiya,Haftalik,0,21,25,45.6106361617932,5,4,5,4,5,3,0
MKE-10077,Mavi,Kadin,33,Bekar,0,Etimesgut,35,0,1,4,Seyahat Yok,9,9,0,8,6,1,0,Muhimmat Fabrikasi,Teknisyen,Lise,35537,36,Uc Vardiya,Aylik,0,6,23,53.64245367500706,9,2,4,4,5,4,0
MKE-10078,Mavi,Erkek,31,Evli,2,MKE Lojmanlari,3,1,1,15,Seyahat Yok,3,3,0,2,0,4,0,Gazi Fisek Fabrikasi,Operator,Lise,28079,31,Iki Vardiya,Aylik,0,9,23,43.81284036956813,8,3,4,5,5,4,0
MKE-10079,Beyaz,Kadin,40,Evli,1,Etimesgut,22,0,3,17,Nadiren,5,3,2,0,0,4,0,IK,Uzman,Lisans,51791,24,Yok,Yok,0,0,24,54.58803681788055,1,3,4,3,4,4,0
MKE-10080,Mavi,Erkek,40,Evli,2,Kalebasi,34,0,2,16,Seyahat Yok,9,7,2,4,4,2,0,Bakim Onarim,Atolye Ustasi,Lise,44123,44,Uc Vardiya,Haftalik,0,5,25,50.4765878465414,2,4,3,5,5,5,0
MKE-10081,Mavi,Erkek,43,Bekar,0,Cankaya,41,0,0,8,Seyahat Yok,3,2,1,1,1,2,0,Silah Fabrikasi,Operator,Lise,26869,30,Uc Vardiya,Haftalik,0,22,25,54.477623450378864,3,3,5,5,5,5,0
MKE-10082,Mavi,Erkek,49,Evli,2,Yenimahalle,28,0,0,6,Seyahat Yok,15,7,8,6,6,3,0,Silah Fabrikasi,Basusta,Lise,50967,33,Uc Vardiya,Haftalik,1,7,25,36.50717143915008,1,3,5,3,4,4,0
MKE-10083,Mavi,Erkek,56,Bekar,0,MKE Lojmanlari,3,1,0,15,Seyahat Yok,19,14,5,13,9,1,2,Gazi Fisek Fabrikasi,Basusta,Lise,56955,26,Uc Vardiya,Haftalik,0,23,16,32.81450976029843,6,4,3,3,4,3,0
MKE-10084,Mavi,Erkek,56,Evli,3,Kalebasi,23,0,1,8,Seyahat Yok,14,14,0,1,0,5,1,Muhimmat Fabrikasi,Atolye Ustasi,On Lisans,47799,31,Uc Vardiya,Haftalik,0,14,18,50.78433785964275,3,2,4,5,5,3,0
MKE-10085,Mavi,Kadin,29,Bekar,0,Kalebasi,47,0,1,15,Seyahat Yok,7,7,0,6,0,3,0,Bakim Onarim,Operator,Lise,28606,48,Uc Vardiya,Haftalik,0,7,16,53.76327631465509,2,3,1,1,3,1,0
MKE-10086,Beyaz,Erkek,33,Evli,2,Mamaj,52,0,6,22,Seyahat Yok,6,2,4,0,0,1,0,IK,Muhendis,Lisans,53520,17,Yok,Yok,0,0,24,37.122700538274024,7,4,5,4,5,1,0
MKE-10087,Mavi,Erkek,38,Evli,1,Yenimahalle,51,0,0,16,Seyahat Yok,19,7,12,5,2,3,0,Gazi Fisek Fabrikasi,Basusta,Lise,51352,30,Iki Vardiya,Aylik,0,16,23,50.52995706375566,8,5,5,3,5,3,0
MKE-10088,Beyaz,Erkek,25,Bekar,0,Cankaya,22,0,1,24,Nadiren,2,1,1,0,0,2,0,Satinalma,Muhendis,Lisans,54459,43,Yok,Yok,0,0,15,44.967310057977436,2,4,3,4,4,3,0
MKE-10089,Beyaz,Erkek,24,Bekar,0,Kalebasi,33,0,1,37,Seyahat Yok,1,1,0,0,0,1,0,Bilgi Teknolojileri,Muhendis,Lisans,60466,25,Yok,Yok,0,0,21,51.14010907474767,6,3,5,4,4,4,0
MKE-10090,Mavi,Erkek,53,Bekar,0,Mamaj,43,0,0,4,Seyahat Yok,3,3,0,2,2,4,0,Bakim Onarim,Operator,Lise,27064,47,Uc Vardiya,Haftalik,0,5,17,42.9309845428583,2,3,1,1,2,1,0
MKE-10091,Mavi,Erkek,26,Evli,2,Yenimahalle,10,0,2,5,Seyahat Yok,8,2,6,0,0,1,0,Bakim Onarim,Teknisyen,On Lisans,28582,23,Iki Vardiya,Haftalik,0,10,19,41.463075222047266,10,4,5,4,5,4,0
MKE-10092,Mavi,Erkek,50,Evli,2,Yenimahalle,30,0,1,18,Seyahat Yok,13,11,2,5,3,5,0,Gazi Fisek Fabrikasi,Teknisyen,Lise,35730,22,Iki Vardiya,Aylik,0,21,25,50.76721276300192,4,3,4,4,4,4,0
MKE-10093,Mavi,Erkek,38,Bekar,0,Cankaya,12,0,0,18,Seyahat Yok,3,2,1,1,0,1,0,Bakim Onarim,Operator,Lise,28401,46,Uc Vardiya,Aylik,1,22,25,48.6465009656753,7,1,3,5,4,5,0
MKE-10094,Mavi,Erkek,53,Evli,3,Yenimahalle,24,0,2,16,Seyahat Yok,6,2,4,0,0,3,0,Bakim Onarim,Operator,Lise,24572,47,Uc Vardiya,Haftalik,0,15,16,32.73160525774053,4,3,3,4,4,3,0
MKE-10095,Mavi,Erkek,52,Evli,2,MKE Lojmanlari,1,1,1,11,Seyahat Yok,16,2,14,1,1,2,0,Bakim Onarim,Basusta,Lise,48781,34,Iki Vardiya,Haftalik,0,19,23,37.36548490865483,7,4,3,4,5,3,0
MKE-10096,Beyaz,Kadin,30,Bekar,0,Yenimahalle,11,0,5,46,Seyahat Yok,7,1,6,0,0,1,0,Satinalma,Kidemli Muhendis,Lisans,65177,39,Yok,Yok,0,0,15,32.52352999943804,6,1,4,3,5,4,0
MKE-10097,Mavi,Erkek,34,Evli,2,MKE Lojmanlari,1,1,2,4,Seyahat Yok,8,7,1,6,5,3,0,Gazi Fisek Fabrikasi,Teknisyen,Lise,35076,40,Uc Vardiya,Aylik,0,22,20,41.23374355099105,10,3,5,4,5,4,0
